session_id,user_id,session_start,session_end,device_id,browser,traffic_source,events_count
S000001,U00819,2025-09-09 05:53:46.390338,2025-09-09 06:04:32.390338,D1,Safari,Direct,2
S000002,U01726,2025-09-09 10:03:29.390338,2025-09-09 10:17:02.390338,D1,Chrome,Organic,3
S000003,U00107,2025-09-09 21:35:19.390338,2025-09-09 21:48:28.390338,D2,Chrome,Organic,3
S000004,U00365,2025-09-09 22:47:39.390338,2025-09-09 23:01:50.390338,D1,Firefox,Facebook,3
S000005,U01770,2025-09-09 10:42:21.390338,2025-09-09 10:58:05.390338,D3,Edge,Google,2
S000006,U00824,2025-09-09 12:12:01.390338,2025-09-09 12:18:06.390338,D2,Safari,Organic,3
S000007,U00215,2025-09-09 03:44:30.390338,2025-09-09 03:53:45.390338,D2,Safari,Facebook,1
S000008,U01024,2025-09-09 16:17:06.390338,2025-09-09 16:34:26.390338,D2,Safari,Direct,4
S000009,U01041,2025-09-09 15:14:19.390338,2025-09-09 15:35:15.390338,D1,Safari,Facebook,3
S000010,U01566,2025-09-10 01:18:43.390338,2025-09-10 01:27:47.390338,D3,Chrome,Email,1
S000011,U01315,2025-09-09 04:52:09.390338,2025-09-09 04:57:03.390338,D1,Chrome,Google,2
S000012,U00870,2025-09-09 10:52:49.390338,2025-09-09 11:01:31.390338,D3,Edge,Organic,2
S000013,U00996,2025-09-09 21:48:04.390338,2025-09-09 22:18:32.390338,D3,Chrome,Email,5
S000014,U01127,2025-09-09 13:04:23.390338,2025-09-09 13:17:27.390338,D2,Safari,Google,2
S000015,U01791,2025-09-09 11:30:36.390338,2025-09-09 11:51:33.390338,D3,Chrome,Google,3
S000016,U01477,2025-09-10 02:34:18.390338,2025-09-10 02:42:48.390338,D3,Firefox,Google,3
S000017,U00723,2025-09-09 22:11:11.390338,2025-09-09 22:15:42.390338,D2,Edge,Organic,1
S000018,U00665,2025-09-09 14:51:29.390338,2025-09-09 15:00:08.390338,D3,Chrome,Google,2
S000019,U00813,2025-09-10 02:35:16.390338,2025-09-10 02:43:41.390338,D3,Chrome,Email,2
S000020,U00097,2025-09-09 05:13:52.390338,2025-09-09 05:24:15.390338,D2,Safari,Google,2
S000021,U01382,2025-09-09 15:20:58.390338,2025-09-09 15:27:41.390338,D1,Safari,Facebook,2
S000022,U01309,2025-09-09 12:15:11.390338,2025-09-09 12:32:07.390338,D3,Edge,Direct,3
S000023,U01942,2025-09-09 12:29:40.390338,2025-09-09 12:49:28.390338,D2,Edge,Organic,3
S000024,U01279,2025-09-09 16:15:16.390338,2025-09-09 16:22:07.390338,D3,Chrome,Facebook,2
S000025,U01253,2025-09-09 07:42:26.390338,2025-09-09 07:51:14.390338,D1,Edge,Google,2
S000026,U00409,2025-09-09 08:15:16.390338,2025-09-09 08:20:10.390338,D2,Chrome,Google,1
S000027,U01300,2025-09-09 11:06:11.390338,2025-09-09 11:24:26.390338,D2,Chrome,Google,2
S000028,U01324,2025-09-09 22:29:27.390338,2025-09-09 22:42:00.390338,D2,Chrome,Facebook,3
S000029,U01451,2025-09-09 20:43:48.390338,2025-09-09 21:03:49.390338,D3,Edge,Organic,3
S000030,U01816,2025-09-09 08:35:14.390338,2025-09-09 08:54:01.390338,D2,Firefox,Google,2
S000031,U00108,2025-09-09 07:37:37.390338,2025-09-09 07:45:08.390338,D1,Safari,Email,3
S000032,U01771,2025-09-09 09:11:24.390338,2025-09-09 09:22:11.390338,D3,Safari,Email,2
S000033,U00363,2025-09-09 17:50:25.390338,2025-09-09 18:00:41.390338,D3,Safari,Facebook,2
S000034,U01881,2025-09-09 10:00:36.390338,2025-09-09 10:15:30.390338,D3,Chrome,Facebook,2
S000035,U01881,2025-09-09 22:49:11.390338,2025-09-09 23:01:12.390338,D2,Chrome,Email,3
S000036,U00563,2025-09-09 08:59:52.390338,2025-09-09 09:24:57.390338,D2,Firefox,Facebook,4
S000037,U00745,2025-09-09 19:46:06.390338,2025-09-09 19:52:55.390338,D1,Firefox,Organic,2
S000038,U00972,2025-09-09 16:05:22.390338,2025-09-09 16:20:47.390338,D1,Chrome,Organic,2
S000039,U00348,2025-09-09 17:03:12.390338,2025-09-09 17:14:17.390338,D1,Edge,Facebook,2
S000040,U01602,2025-09-09 15:41:30.390338,2025-09-09 15:56:06.390338,D2,Chrome,Google,3
S000041,U01468,2025-09-09 04:51:49.390338,2025-09-09 04:58:11.390338,D2,Edge,Organic,3
S000042,U00086,2025-09-09 06:39:22.390338,2025-09-09 06:45:17.390338,D2,Firefox,Organic,2
S000043,U01023,2025-09-09 14:29:50.390338,2025-09-09 14:54:37.390338,D1,Firefox,Direct,4
S000044,U01415,2025-09-09 12:15:06.390338,2025-09-09 12:25:10.390338,D3,Chrome,Google,2
S000045,U00619,2025-09-09 13:01:36.390338,2025-09-09 13:22:58.390338,D3,Firefox,Google,3
S000046,U00670,2025-09-09 21:14:50.390338,2025-09-09 21:34:56.390338,D3,Firefox,Email,4
S000047,U00468,2025-09-09 22:41:03.390338,2025-09-09 23:06:46.390338,D3,Chrome,Direct,4
S000048,U00138,2025-09-10 03:19:44.390338,2025-09-10 03:32:35.390338,D3,Chrome,Google,2
S000049,U00131,2025-09-09 12:26:58.390338,2025-09-09 12:30:21.390338,D1,Firefox,Facebook,2
S000050,U00516,2025-09-09 11:53:37.390338,2025-09-09 11:58:35.390338,D2,Edge,Google,2
S000051,U01720,2025-09-09 15:16:01.390338,2025-09-09 15:24:52.390338,D3,Firefox,Direct,1
S000052,U00718,2025-09-09 19:49:39.390338,2025-09-09 20:04:55.390338,D1,Firefox,Email,3
S000053,U01893,2025-09-09 14:01:54.390338,2025-09-09 14:04:54.390338,D1,Chrome,Organic,1
S000054,U00002,2025-09-10 00:12:16.390338,2025-09-10 00:34:26.390338,D2,Edge,Direct,3
S000055,U01704,2025-09-09 13:44:07.390338,2025-09-09 13:59:14.390338,D1,Chrome,Email,3
S000056,U00142,2025-09-09 14:52:30.390338,2025-09-09 15:08:06.390338,D1,Edge,Direct,4
S000057,U01030,2025-09-10 00:56:14.390338,2025-09-10 01:16:38.390338,D3,Safari,Email,3
S000058,U01053,2025-09-10 00:15:42.390338,2025-09-10 00:17:16.390338,D2,Chrome,Facebook,2
S000059,U00169,2025-09-09 05:57:24.390338,2025-09-09 06:07:38.390338,D1,Edge,Direct,2
S000060,U00220,2025-09-09 21:05:24.390338,2025-09-09 21:18:29.390338,D3,Chrome,Organic,2
S000061,U01675,2025-09-09 12:58:56.390338,2025-09-09 13:15:01.390338,D1,Safari,Email,3
S000062,U00546,2025-09-09 10:28:49.390338,2025-09-09 10:59:47.390338,D2,Safari,Organic,4
S000063,U01274,2025-09-09 20:28:36.390338,2025-09-09 20:30:13.390338,D3,Edge,Email,1
S000064,U01929,2025-09-09 15:02:50.390338,2025-09-09 15:19:41.390338,D1,Safari,Organic,2
S000065,U01390,2025-09-09 09:29:29.390338,2025-09-09 09:38:14.390338,D1,Safari,Facebook,3
S000066,U00128,2025-09-09 21:41:04.390338,2025-09-09 21:44:53.390338,D2,Safari,Facebook,1
S000067,U01251,2025-09-09 19:52:58.390338,2025-09-09 20:12:46.390338,D2,Edge,Direct,2
S000068,U01177,2025-09-10 00:53:43.390338,2025-09-10 01:05:04.390338,D1,Edge,Google,2
S000069,U00660,2025-09-09 13:00:22.390338,2025-09-09 13:26:33.390338,D1,Firefox,Google,3
S000070,U00496,2025-09-09 13:50:38.390338,2025-09-09 14:06:27.390338,D1,Safari,Facebook,3
S000071,U01001,2025-09-09 14:36:12.390338,2025-09-09 14:42:31.390338,D2,Edge,Facebook,1
S000072,U01577,2025-09-09 18:46:59.390338,2025-09-09 18:54:12.390338,D3,Edge,Google,2
S000073,U01812,2025-09-10 00:00:23.390338,2025-09-10 00:19:48.390338,D1,Safari,Facebook,4
S000074,U01944,2025-09-09 16:36:07.390338,2025-09-09 16:48:00.390338,D1,Safari,Google,3
S000075,U01854,2025-09-09 08:28:46.390338,2025-09-09 08:46:21.390338,D1,Edge,Google,2
S000076,U00834,2025-09-09 20:44:20.390338,2025-09-09 20:59:05.390338,D3,Safari,Organic,3
S000077,U00957,2025-09-09 20:02:54.390338,2025-09-09 20:17:50.390338,D2,Firefox,Direct,2
S000078,U00214,2025-09-09 10:24:02.390338,2025-09-09 10:39:03.390338,D2,Safari,Facebook,3
