event_id,session_id,user_id,event_time,page,event_type,product_id,traffic_source,browser,device_id
68490779-5580-438a-b33d-521ae0064a79,S000001,U00819,2025-09-09 05:53:46.390338,Homepage,page_view,,Direct,Safari,D1
6cf4418c-2004-495c-b55f-2a680e537705,S000001,U00819,2025-09-09 06:02:33.390338,Cart,add_to_cart,P0044,Direct,Safari,D1
be23f5b1-91b2-465a-ad1a-3b68f7c7f3ef,S000002,U01726,2025-09-09 10:03:29.390338,Homepage,page_view,,Organic,Chrome,D1
9597714b-0533-487f-a081-4aac494e6d41,S000002,U01726,2025-09-09 10:12:45.390338,Product,product_view,P0099,Organic,Chrome,D1
c5ae4dd9-6cbb-4271-a076-61c3495a7874,S000002,U01726,2025-09-09 10:13:50.390338,Checkout,checkout_start,,Organic,Chrome,D1
a3cb9aed-54a2-40a1-b338-4514bb2d2bf8,S000003,U00107,2025-09-09 21:35:19.390338,Homepage,page_view,,Organic,Chrome,D2
407e07fa-74bf-4165-a58d-e0947ea2ef0f,S000003,U00107,2025-09-09 21:38:19.390338,Product,product_view,P0101,Organic,Chrome,D2
f12bd765-d0c2-4d69-95c0-c6f3c9d170c6,S000003,U00107,2025-09-09 21:44:12.390338,Cart,add_to_cart,P0073,Organic,Chrome,D2
50ca97b3-8869-4ae0-b0c1-ac2dfccee22e,S000004,U00365,2025-09-09 22:47:39.390338,Homepage,page_view,,Facebook,Firefox,D1
e124f728-c400-4834-bd61-61717e2863da,S000004,U00365,2025-09-09 22:51:46.390338,Cart,add_to_cart,P0005,Facebook,Firefox,D1
e54bfcf5-6dcf-4b19-bd12-5dd61834f954,S000004,U00365,2025-09-09 22:54:00.390338,Checkout,checkout_start,,Facebook,Firefox,D1
0a4979b5-62a6-4dae-8f01-a16eeb394289,S000005,U01770,2025-09-09 10:42:21.390338,Homepage,page_view,,Google,Edge,D3
393e0b21-a80c-4ba0-b457-7ad7afa01c22,S000005,U01770,2025-09-09 10:51:22.390338,Product,product_view,P0163,Google,Edge,D3
33c77e82-4d1e-4e6f-bff7-403150aed0ee,S000006,U00824,2025-09-09 12:12:01.390338,Homepage,page_view,,Organic,Safari,D2
9b706cc3-1ed6-4dae-ac9d-06b7a9fb2feb,S000006,U00824,2025-09-09 12:12:56.390338,Product,product_view,P0061,Organic,Safari,D2
fa943cb9-e1e8-442e-8794-dc55c26baf51,S000006,U00824,2025-09-09 12:14:36.390338,Cart,add_to_cart,P0086,Organic,Safari,D2
5a492274-55fd-44b7-9d24-31f50adfef92,S000007,U00215,2025-09-09 03:44:30.390338,Homepage,page_view,,Facebook,Safari,D2
6646c951-b656-4b77-940c-f8b7cca34492,S000008,U01024,2025-09-09 16:17:06.390338,Homepage,page_view,,Direct,Safari,D2
66f5bf65-eb38-4731-bb8e-4002b5526036,S000008,U01024,2025-09-09 16:21:54.390338,Product,product_view,P0043,Direct,Safari,D2
2f18ae26-38d9-4e06-861d-71372ddf6b73,S000008,U01024,2025-09-09 16:23:46.390338,Cart,add_to_cart,P0125,Direct,Safari,D2
727e0ba6-53fe-4fb8-b3a0-0655c245f893,S000008,U01024,2025-09-09 16:29:14.390338,Checkout,checkout_start,,Direct,Safari,D2
31105648-8e18-4fe4-8264-aa912a4bef78,S000009,U01041,2025-09-09 15:14:19.390338,Homepage,page_view,,Facebook,Safari,D1
90c95b93-2588-4fd0-b61c-1d379f3cd954,S000009,U01041,2025-09-09 15:22:58.390338,Product,product_view,P0187,Facebook,Safari,D1
910042db-71ba-4797-a97e-08022aa19eea,S000009,U01041,2025-09-09 15:26:30.390338,Checkout,checkout_start,,Facebook,Safari,D1
d7239de6-45d9-4dc2-a562-0d5c2eef5f34,S000010,U01566,2025-09-10 01:18:43.390338,Homepage,page_view,,Email,Chrome,D3
093d0fef-eaa1-4eab-a13f-b59735496eda,S000011,U01315,2025-09-09 04:52:09.390338,Homepage,page_view,,Google,Chrome,D1
ad3b717b-dc41-4a11-9d97-b733da788698,S000011,U01315,2025-09-09 04:53:31.390338,Product,product_view,P0030,Google,Chrome,D1
3499d812-eb15-41b3-ba21-a949a8ee0479,S000012,U00870,2025-09-09 10:52:49.390338,Homepage,page_view,,Organic,Edge,D3
e0dcbabe-aff1-4e80-8558-5307d7656975,S000012,U00870,2025-09-09 10:53:33.390338,Product,product_view,P0043,Organic,Edge,D3
a359a8b4-ac30-486a-87c4-bf347149797b,S000013,U00996,2025-09-09 21:48:04.390338,Homepage,page_view,,Email,Chrome,D3
6b05477e-5b93-467e-89e3-b9072a1b81aa,S000013,U00996,2025-09-09 21:53:14.390338,Product,product_view,P0081,Email,Chrome,D3
b4eaef44-4d18-434f-a96c-334a0e14470f,S000013,U00996,2025-09-09 21:58:40.390338,Cart,add_to_cart,P0142,Email,Chrome,D3
efd2d910-b7cd-4e74-b067-fa6e51afa8b8,S000013,U00996,2025-09-09 22:02:15.390338,Checkout,checkout_start,,Email,Chrome,D3
cc19dbb2-6891-403c-958e-02efde0cbeeb,S000013,U00996,2025-09-09 22:08:41.390338,Purchase,purchase,P0014,Email,Chrome,D3
311f3ac3-1114-4fc2-85ed-88575a64a479,S000014,U01127,2025-09-09 13:04:23.390338,Homepage,page_view,,Google,Safari,D2
292ba802-7287-4803-9124-2370b1a5b908,S000014,U01127,2025-09-09 13:13:32.390338,Product,product_view,P0119,Google,Safari,D2
38ba37e5-f928-4850-8183-152fcbc54acc,S000015,U01791,2025-09-09 11:30:36.390338,Homepage,page_view,,Google,Chrome,D3
9b59a5fe-2a1f-4ad1-aaf4-edfb730bdafd,S000015,U01791,2025-09-09 11:37:16.390338,Cart,add_to_cart,P0132,Google,Chrome,D3
231ff12c-5ccc-4f74-ac4d-774fb907c98a,S000015,U01791,2025-09-09 11:44:46.390338,Purchase,purchase,P0196,Google,Chrome,D3
1db7b415-e8fa-4bb3-89eb-917fd0399c28,S000016,U01477,2025-09-10 02:34:18.390338,Homepage,page_view,,Google,Firefox,D3
df80b5a7-b520-45c6-934f-821d57b86ee8,S000016,U01477,2025-09-10 02:35:34.390338,Product,product_view,P0027,Google,Firefox,D3
71880865-e5c2-4311-bb0b-d68b9ae07def,S000016,U01477,2025-09-10 02:40:33.390338,Purchase,purchase,P0117,Google,Firefox,D3
5b38ef47-7035-4c7c-a339-3636997cd3bb,S000017,U00723,2025-09-09 22:11:11.390338,Homepage,page_view,,Organic,Edge,D2
793cbe67-7197-4b9c-ac8e-1ae056d1cdba,S000018,U00665,2025-09-09 14:51:29.390338,Homepage,page_view,,Google,Chrome,D3
cfb588e5-c98e-4151-b2c0-145a2c1307f1,S000018,U00665,2025-09-09 14:54:31.390338,Product,product_view,P0073,Google,Chrome,D3
0f1b9c17-be55-43b2-84b8-9b20e94d1842,S000019,U00813,2025-09-10 02:35:16.390338,Homepage,page_view,,Email,Chrome,D3
f76369f3-3550-4934-975b-4f36dee97ea9,S000019,U00813,2025-09-10 02:41:47.390338,Cart,add_to_cart,P0055,Email,Chrome,D3
57a7794b-3594-47db-9396-7af244d650a6,S000020,U00097,2025-09-09 05:13:52.390338,Homepage,page_view,,Google,Safari,D2
